"term","estimate","std.error","statistic","p.value","log_transform","significance","tech","estimate_label"
"Arab",-9913.7529,"4883.3622","-2.0301",0.0426743245274526,-100,"**","Tech","-$9,914"
"Black",-8690.8694,"4644.8608","-1.8711",0.0616980948206184,-100,"*","Tech","-$8,691"
"Chinese",-1024.287,"4391.4337","-0.2332",0.815629286288212,-100,"","Tech","-$1,024"
"Filipino",-4442.5031,"4904.7302","-0.9058",0.365334830607422,-100,"","Tech","-$4,443"
"Japanese",18357.8242,"6007.9998","3.0556",0.00232060814465705,Inf,"***","Tech","$18,358"
"Korean",3371.468,"5347.5556","0.6305",0.528566939176892,Inf,"","Tech","$3,371"
"Latin American",2688.7645,"4929.8415","0.5454",0.585625677568357,Inf,"","Tech","$2,689"
"South Asian",-9052.6823,"4432.5404","-2.0423",0.0414451958426614,-100,"**","Tech","-$9,053"
"Southeast Asian",-2029.4985,"5100.4383","-0.3979",0.690804595949548,-100,"","Tech","-$2,029"
"West Asian",-1948.5226,"4831.2704","-0.4033",0.686823926887113,-100,"","Tech","-$1,949"
