"Visible_Minority","tech_job","EMP","INC"
"Arab","Tech",20270,76413.144682897
"Black","Tech",25805,72431.2341796485
"Chinese","Tech",82050,91697.3850248802
"Filipino","Tech",13880,76485.8110583305
"Japanese","Tech",1985,90659.8537618375
"Korean","Tech",6260,79056.2137309217
"Latin American","Tech",17620,81057.2558752466
"Not a visible minority","Tech",458875,88234.3047308661
"South Asian","Tech",121640,83466.8529179966
"Southeast Asian","Tech",10330,79498.1128571813
"West Asian","Tech",14945,83031.5457429058
